revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,2,GI001.1,SHEET INDEX,"912.1,408.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,6,GI104,5TH FLOOR CODE ANALYSIS,"912.1,477.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,7,GI105,ATTIC CODE ANALYSIS,"912.1,494.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,13,SF100,3RD FLOOR FRAMING PLAN,"912.1,615.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,14,SF110,4TH FLOOR FRAMING PLAN,"912.1,632.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,40,AD103,DEMOLITION - 3RD FLOOR PLAN,"912.1,1098.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,41,AD104,DEMOLITION - 4TH & 5TH FLOOR PLAN,"912.1,1115.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,42,AD105,DEMOLITION - ATTIC & ROOF PLAN,"912.1,1132.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,62,AE103,3RD FLOOR PLAN - SHELL,"912.1,1477.9"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,63,AE104,4TH & 5TH FLOOR PLAN - SHELL,"912.1,1495.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,64,AE105,ATTIC & ROOF PLAN - SHELL,"912.1,1512.3"
